Wallet Address,Status Code,Response,Total Balance,Transaction Count,Spend,Spend Games,Created At,Hodler Score,Is Bot,Temporal Activity,Transaction Velocity,Continuous Engagement,Funding Network
0xcfec6c0f4ecd951ecac87e2ab5be22449c9faf8b,200,Success,0,0,0,0,2024-03-22T22:20:49.000Z,50,False,False,False,False,False
0x3241d662d5fb74f962607c8859cb3c89cd7adbea,200,Success,0,107,13133.01,0,2021-04-20T02:35:46.000Z,50,False,False,False,False,False
0xced108f32dd89c164c2baebc6c12ac1ff1ab5b30,200,Success,0,181,30169.06,0,2021-09-27T08:38:28.000Z,50,False,False,False,False,False
0x88ad27c19b6896789a233a77fe4c205424fd8446,200,Success,0,0,0,0,2024-04-20T13:41:03.000Z,50,False,False,False,False,False
0xdefd4f7af597970d5f2cedda3d1894e3e5680963,200,Success,0,14,835.83,0,2023-11-06T02:22:11.000Z,50,False,False,False,False,False
0xdf140d2547ca83af5bcc56afdd562cc50e2ea1b8,200,Success,1345.279743115,368,52693.36502024,0,2020-11-09T05:11:24.000Z,50,False,False,False,False,False
0x67538b6d12c4755cf45c4681c02ead08f9bd6ed3,200,Success,74.402327306,3216,1201917.45475768,426.471301439,2021-08-11T01:23:37.000Z,50,False,False,False,False,False
0x389e380c3e4dca52cf7f87787aac28e248b9cd5a,200,Success,34.645418564,38,470.673862443,0,2020-10-16T03:39:01.000Z,56,False,False,False,False,False
0xc78e76838d826e5d4015bed523caa17978578d42,200,Success,28361.020120336,312,121755.829909594,91.29516341,2021-06-07T07:01:02.000Z,50,False,False,False,False,False
0xa97adc6facbb34b646ba95ff7d6facd07f8f0692,200,Success,83.168910421,454,3725.619198729,0,2024-03-06T03:45:11.000Z,50,False,False,False,False,False
0xf360e157c2a398d2017a4eb520ec8acb38a7d144,200,Success,0,0,0,0,2024-05-18T06:36:47.000Z,50,False,False,False,False,False
0xd4ee17446c44816bdf0e935e09e902980e0380a9,200,Success,0,31,83841.889046916,0,2024-01-28T19:53:23.000Z,50,False,False,False,False,False
0xdca8993ab92c9d3e7a139db51dc8ff4cd964ec4d,200,Success,0,15,624.92,0,2024-02-12T13:25:51.000Z,55,False,False,False,False,False
0x00a70ab9b77a1c21f16501498af910797959b234,200,Success,15.092161096,386,42570.823136037,0,2022-10-24T16:55:11.000Z,50,False,False,False,False,False
0x7b1e9bcffc6a3300fbffa235726ba218e1a9a391,200,Success,1.250539231,684,14896.038413387,0,2021-11-01T14:58:21.000Z,50,False,False,False,False,False
0x8c59c640d1428ba96cdf597187d840dbd9e09dfb,200,Success,0,505,91569.35,0,2021-06-10T05:51:01.000Z,50,False,False,False,False,False
0x4320928337aa6ad8213f5eb12e26d8696a36dee8,200,Success,907.42996473,156,4901.17,158.82,2019-12-30T18:35:11.000Z,50,False,False,False,False,False
0xcc40e70b93865b7d6eb78d7c4ffd79c66bff532d,200,Success,4.097459182,143,1445.991352056,0,2024-03-30T19:37:27.000Z,57,False,False,False,False,False
0xe57d30243abf42b6b9a9b052afc91254172ba38c,200,Success,0,5,477.83,0,2024-03-17T02:52:11.000Z,50,False,False,False,False,False
0xf2a0727431fc6b75561adadcf263ddf947d2098c,200,Success,0,0,0,0,2024-03-28T23:39:00.000Z,50,False,False,False,False,False
0xe912b0a61cdcf6e429b1b0d55889f612a107cf31,200,Success,0,65,2796.77,0,2024-04-09T02:21:47.000Z,50,False,False,False,False,False
0x6b15fdb7eaa507638e72b60c593b82c2ba8c9207,200,Success,0,136,1601.17,0,2024-01-05T23:15:23.000Z,50,False,False,False,False,False
0xc5c6f031dd08c2992c809a0115a3aae2e4192cc7,200,Success,0,93,16151.45,0,2024-04-07T15:15:35.000Z,60,False,False,False,False,False
0xc6856e8c40368ed3c3ba686e637114c83cf7c30d,200,Success,0,6,148.77,0,2024-04-02T03:26:48.000Z,50,False,False,False,False,False
0xcb2406b42be0d39c5eef33672f8c66e1cbf2d257,200,Success,2215.332932906,279,13141.4466976,1.84477724,2021-10-24T20:48:50.000Z,50,False,False,False,False,False
0x855e555a0c734dbcc950cb777462a80a0d2b2d85,200,Success,0,76,6539.1,0,2021-10-19T21:51:49.000Z,50,False,False,False,False,False
0xe1448c34dc7c13ab91f83fd5a90809bf8b98be7b,200,Success,0,16,3059.96,0,2024-04-02T05:09:11.000Z,50,False,False,False,False,False
0xfd584cdb36142a379d0621480755e4f93bcbdc2a,200,Success,66.067216701,216,553.697086915,0,2020-11-22T16:03:56.000Z,50,False,False,False,False,False
0xf4a55452f1595faa45c86de1e3cb6162668466eb,200,Success,0,4,71.96,0,2024-03-30T19:01:47.000Z,50,False,False,False,False,False
0x39e900a5e0f8316b1d87b2f72d198de4d30eefff,200,Success,0,40,4569.04,0,2023-11-08T15:24:11.000Z,50,False,False,False,False,False
0x75c8cd716814b311ef3e885671200c66eb4f5ecc,200,Success,0,7,7085.08,0,2021-11-09T16:15:01.000Z,53,False,False,False,False,False
0xd0df86683024a506123f15fbfd5f967982bcc09c,200,Success,0,10,580.18,0,2023-11-01T15:06:47.000Z,58,False,False,False,False,False
0x4eed6fb1346a76a9ea0a152b36297b16fd0a2de7,200,Success,0,561,18036.87,70.13,2021-03-20T17:47:28.000Z,50,False,False,False,False,False
0x39ed857fd2e1e436509f87db10cfb901c10d5e55,200,Success,18377.044276487,37,1993.558411073,0,2024-04-18T23:38:11.000Z,50,False,False,False,False,False
0x0e2e0dc93aea699d7d8767e084993df2c6e9870e,200,Success,0,30,70.68,0,2023-10-08T07:57:19.000Z,50,False,False,False,False,False
0x5c87b4ea3d7796c2434ce88d425efc87e2e6ca81,200,Success,0,2,53.45,0,2024-03-21T15:05:35.000Z,50,False,False,False,False,False
0xcb57f0672f810f58b673e8682b03ea67f465aab2,200,Success,0,971,103652.07,23.3,2023-11-24T02:48:59.000Z,67,False,False,False,False,False
0xb709bacc244e4b5d37952251d2a488a1e6532e23,200,Success,0,409,300400.41,0,2021-04-28T14:18:20.000Z,50,False,False,False,False,False
0x71cc5be1d6dbe5813c7b16e6772c5f4eeb5686e0,200,Success,0,153,8171.49,0,2024-01-17T11:37:28.000Z,50,False,False,False,False,False
0x854e969ff42abf6bffa2ead3b842f40242c5e872,200,Success,0,15,252.98,0,2021-05-01T05:22:35.000Z,53,False,False,False,False,False
0x12427aacc7d1a3c3d8c0dfc894efca3f48845b48,200,Success,0,12,751.45,0,2021-01-10T08:28:34.000Z,50,False,False,False,False,False
0xda537517a477ce50103baeb06fe18ea9249c1c49,200,Success,0,100,3626.55,0,2021-06-08T04:10:44.000Z,50,False,False,False,False,False
0xa75e9cd93686793e69289228c249e320791afb53,200,Success,0,9,186.7,0,2024-02-14T14:53:11.000Z,50,False,False,False,False,False
0xd202e569ade45468b5dd989e80d7b7194f843999,200,Success,0,0,0,0,2024-04-06T07:47:59.000Z,50,False,False,False,False,False
0xef354d46efa0f7353f0e8c061b2c288950b62356,200,Success,0,117,8024.84,0,2022-05-28T22:47:33.000Z,77,False,False,False,False,False
0xb0a2489183c85dfc82ce6a028676d9d909a1eb0b,200,Success,11.141518428,84,1101.010493026,0,2020-11-13T04:16:38.000Z,50,False,False,False,False,False
0xf18f584e52b806f2d1de1bf2d85386a495075f14,200,Success,0,217,56089.69,0,2020-05-16T00:42:37.000Z,50,False,False,False,False,False
0x27e5c3ad337fa884485e09cc4574c2fdcc888a6c,200,Success,0,4,16.08,0,2020-11-21T12:35:05.000Z,50,False,False,False,False,False
0x53a39c90f2b0f4a6875cc41468cdeb05404492d7,200,Success,18.136754527,297,5972.230877166,185.878458511,2020-10-21T00:21:56.000Z,50,False,False,False,False,False
0x680f32a9e4bb24a419e9f2eb7ae8a8d2610566cc,200,Success,0,0,0,0,2024-04-08T21:12:11.000Z,50,False,False,False,False,False
0x474b049b359817939b9c8e2ceeee4b2323f6da9a,200,Success,27.286172271,275,19884.540294462,0,2024-02-09T01:44:35.000Z,66,False,False,False,False,False
0x5a00305003d454bc52c8a430136e09a9dac89e03,200,Success,0,4,134.68,0,2021-05-25T20:09:06.000Z,50,False,False,False,False,False
0x445611829b22a1beb231b5bece56b4dd3cf40e5f,200,Success,0,7,283.1,0,2024-04-16T17:48:23.000Z,52,False,False,False,False,False
0x1eedd1b98d207d1b3cbf2dbdfcefaa109da79175,200,Success,0,17,108.61,0,2023-10-11T11:55:59.000Z,50,False,False,False,False,False
0xc7ef9540498eeae727fe6b018915046514f299e6,200,Success,0.1043767027,37,113.322909704,0,2023-04-25T05:17:37.000Z,56,False,False,False,False,False
0xe2abe1dd38917f0cca7f81150f9add149abcbd89,200,Success,0,11,268.11,0,2024-03-28T04:59:11.000Z,50,False,False,False,False,False
0x7ea77aed5b6e9ad3b55316e7253d83f34f9f2257,200,Success,0,18,357.94,0,2023-05-03T18:31:01.000Z,50,False,False,False,False,False
0xb9fe36cac4174009dbcd11ac98db0d21c70f55cc,200,Success,2954.898574665,3829,1310734.59334486,14.982756768,2020-05-16T20:46:26.000Z,50,False,False,False,False,False
0x48f4ed63df7952b113c34e057d57530fb6359262,200,Success,397.968762442,106,25259.683410515,0,2021-06-07T03:56:06.000Z,50,False,False,False,False,False
0xb04482206b0af30c246fa36fa030dfff957ace55,200,Success,0,126,20391.98,0,2021-06-22T01:58:45.000Z,50,False,False,False,False,False
0xcb96c516d2bd13445807bec8852fd77c94a06367,200,Success,0,54,492.14,0,2024-03-08T05:45:11.000Z,50,False,False,False,False,False
0xc4774f0700cbf1c014642eb69eeacca8ac534f7d,200,Success,0,27,12848.89,0,2024-03-11T17:06:21.000Z,50,False,False,False,False,False
0x463903668f99e7926d581069439f2ccf212d033e,200,Success,0,95,21538.77,0,2022-10-07T15:54:23.000Z,50,False,False,False,False,False
0x200daf201cdb7d56dcac7cd49506b6046f6131e5,200,Success,0,181,4831.26,1.54,2023-01-30T09:12:35.000Z,50,False,False,False,False,False
0x5b4c174b05edefea86d468318e55ca9b7268e036,200,Success,3017.331884222,83,6012.260337769,0,2021-12-19T11:46:37.000Z,50,False,False,False,False,False
0xe70be08a06e2e1c03951361673341a1065d25ebd,200,Success,0,43,4798.54,0,2021-11-06T08:25:09.000Z,50,False,False,False,False,False
0x8425d3662b4b30fdcf2c05e6a22d22e174088dc5,200,Success,0,28,2740,0,2023-08-02T13:12:59.000Z,50,False,False,False,False,False
0x0ffc9742ec3eb6194b972d4cfc8df0097f7da4e3,200,Success,0,2,79.17,0,2021-05-11T15:10:22.000Z,50,False,False,False,False,False
0x5ac3e307c71a277346c9e1b7def1da95926b1242,200,Success,0,10,270.14,0,2024-03-14T03:01:11.000Z,50,False,False,False,False,False
0xbcbb50f3393a66c73cd377a23a52f98379ec9a9f,200,Success,0,253,21155.590479368,16257.28558068,2022-04-05T09:09:33.000Z,50,False,False,False,False,False
0x6f358ac4b1096c9101bcfb75af61f60fa51be0fb,200,Success,36.881293567,421,38812.576681532,57.66331857,2020-11-29T14:27:38.000Z,50,False,False,False,False,False
0x9479e1fff3c3d687725ee1fce6cba1e75a730fa1,200,Success,0,56,17909.960855257,0,2022-06-24T19:43:34.000Z,50,False,False,False,False,False
0x1926806ddb44c1c7b4d43f3b99b3f7f6caacf3b6,200,Success,8.661246117,55,391.691439723,0,2024-04-10T15:12:11.000Z,50,False,False,False,False,False
0xdb1d8339f1e1399176f60db7574ec1cf08324936,200,Success,0,73,1218.59,0,2020-09-16T07:01:10.000Z,50,False,False,False,False,False
0xf4441d7173dd70dd82a83a6065f3ee6d92890491,200,Success,154.660834825,292,6313.460164995,0,2023-12-23T01:58:11.000Z,58,False,False,False,False,False
0x555949adeeaedd22d9c41de10966f32eb6884507,200,Success,10.798386081,186,913.31207127,0,2022-01-12T18:09:22.000Z,50,False,False,False,False,False
0xd4a9a7072b7d5aa4b5a45e1ee7cfc8e611896c27,200,Success,82.683418229,25,1878.188734492,0,2021-05-15T21:37:11.000Z,50,False,False,False,False,False
0x6437c4494cea875b549b7f021b8fc640e9f0ba4f,200,Success,142.516336714,43,86.622403838,0,2024-04-17T00:20:23.000Z,65,False,False,False,False,False
0x525881d96c343a60dd622a42c14f527961c686a1,200,Success,0,48,3094.85,0,2021-06-14T21:12:32.000Z,50,False,False,False,False,False
0xe556a12f6a6faafa0a3dab673eb41eec65705a03,200,Success,0,40,2203.9,0,2023-03-01T15:37:11.000Z,50,False,False,False,False,False
0xecfd7fcb8231a145310c3f746061b2486efdc1be,200,Success,0,171,10559.95,124.78,2021-11-18T09:04:01.000Z,50,False,False,False,False,False
0x3db42c4888b33e62e0c446a84b17fdd9c4885139,200,Success,0,18,789.48,0,2024-01-01T23:47:35.000Z,50,False,False,False,False,False
0xcfbf483a61fe4a2b3f4b021bd2b188b575aefee9,200,Success,0,6,80.21,0,2022-11-13T03:01:55.000Z,50,False,False,False,False,False
0x6b6c9fdc147e3a720103632331ba61304b793428,200,Success,0,56,4419.51,0,2024-01-04T20:16:23.000Z,50,False,False,False,False,False
0x03b1cc4158777e68edc5df6d4d656802774771df,200,Success,0,57,11449.27,0,2021-12-02T17:08:02.000Z,50,False,False,False,False,False
0xdd58f22f6f92a9ac4f1ce95d13d6c4ad5aecc7f1,200,Success,5708.258437355,72,56712.538971394,7.725240467,2024-01-11T22:03:11.000Z,50,False,False,False,False,False
0x29904a621a509ee274d8b1f51f01e7f1b6c12d7a,200,Success,0,793,19067.86,58.06,2021-03-07T13:16:54.000Z,50,False,False,False,False,False
0xb801c97591997b9f2d23eb7b410bfc09ac19cd78,200,Success,3.658754505,123,4221.123932121,0,2021-12-08T13:49:26.000Z,77,False,False,False,False,False
0x6b532ac6d1416d68d506448854d8b396af7e1f23,200,Success,0,244,4973.43,21.27,2019-10-13T13:15:23.000Z,50,False,False,False,False,False
0xe2bcb02d3cbf346520c8439b1da5a59c971460fa,200,Success,0,11,512.51,0,2023-02-07T15:50:11.000Z,50,False,False,False,False,False
