Wallet Address,Status Code,Response,Total Balance,Transaction Count,Spend,Spend Games,Created At,Hodler Score,Is Bot,Temporal Activity,Transaction Velocity,Continuous Engagement,Funding Network
0x988527874c7e3f02115f89a6a97135c70b6a47fc,200,Success,1252.48,2640,82438.512650422,4.94418598,2021-09-14T12:15:40.000Z,98,False,False,False,False,False
0x5a7bab8c757d614984c257014a2e6db4ec575ec6,200,Success,0.27,676,450.630553507,1.58669346,2022-06-10T10:18:35.000Z,98,False,False,False,False,False
0xef41421593f0211154665670ffb925c63243c3c6,200,Success,408.96,6728,9490.308010631,32.324452466,2022-05-27T20:58:35.000Z,99,False,False,False,False,False
0xf082740408188f0f492f2f45fed7f9ca761ee26a,200,Success,108.73,1952,5285.732560588,8.580059445,2021-09-30T17:15:02.000Z,94,False,False,False,False,False
0x6eb0f29b8fc7a29e517ba56dd79287b3ccac64f3,200,Success,5.95,2312,8196.715453145,0.7466890387,2020-09-30T20:47:14.000Z,95,True,False,False,False,True
0x95831904f70f3db79fe7fe030a328da0bc514d9c,200,Success,10.22,643,1194.821966134,10.670554036,2022-05-28T12:48:54.000Z,86,False,False,False,False,False
0x4168abe9065c3cc4415b1bceedc041cc12743724,200,Success,4.56,7282,9454.07919068,1875.568170606,2021-06-04T03:15:30.000Z,98,False,False,False,False,False
0x8e9cbe4534835fdc65a6acd31216f455822668e3,200,Success,0.73,619,1670.086634034,0.8743289266,2021-07-20T16:57:12.000Z,91,False,False,False,False,False
0x68e1faa312ebda6664f48ef744bf8ae9c4aab1db,200,Success,10.6,917,1329.481875523,0.5378007938,2021-06-29T18:10:01.000Z,91,False,False,False,False,False
0x8d5bb5aa462cd3a200c0010b66fde3b3c87cfca5,200,Success,105.71,7819,8754.786517493,1069.957432796,2021-11-22T01:40:53.000Z,88,False,False,False,False,False
0x1fa406da31eea33752481c526a249c06279fd9a5,200,Success,209.15,2667,10787.78027044,67.578871189,2021-02-14T16:35:41.000Z,94,False,False,False,False,False
0x4846571aac55d421e6f9e60b86fafd1efb2c70f7,200,Success,0.89,198,300.638577505,6.84827869,2021-09-05T00:05:51.000Z,93,False,False,False,False,False
0xfc5954d02e46de691d866359fee8ef5a83f6489a,200,Success,0.41,122,361.748678344,0.01206103322,2022-09-10T10:17:58.000Z,88,False,False,False,False,False
0xc3fd44c7326e0f155cbb8e0683fef130ce6527f3,200,Success,30.86,1541,1749.562405814,159.094465756,2020-10-27T03:26:24.000Z,95,False,False,False,False,False
0xbef3b2871062fc44d3045cfb77dddf374bde22e1,200,Success,49.04,141,248.207974269,0.238075763,2021-03-14T20:57:23.000Z,92,False,False,False,False,False
0xc4f6f3777881bc4f9d2d22ddef52d51cb2d87777,200,Success,38.32,2646,27418.268546808,1128.604555435,2021-03-02T10:52:40.000Z,89,True,False,False,True,False
0x6f3e91a50b8c381fd3de973da7d7adf70c5d748a,200,Success,19.99,924,1560.406112247,11.368737636,2020-07-26T22:32:37.000Z,93,False,False,False,False,False
0x9ba9e1b15b8b88d2d184fc89bda4f31fb1a12757,200,Success,14.12,403,334.599041476,0.6955011763,2021-12-08T07:48:27.000Z,93,False,False,False,False,False
0x026330bdc4bb6fab28efe36029ff31b6be3f81ac,200,Success,2.29,152,84.040620743,0,2021-09-13T22:10:02.000Z,96,False,False,False,False,False
